Id,Name,Street_Address_1__c,Street_Address_2__c,City__c,State__c,Postal_Or_Zip_Code__c,Geolocation__c.latitude,Geolocation__c.longitude,Max_Capacity__c,Center_Mode__c,Is_National_Center__c,Center_URL__c
a0C1g000000WGGlEAO,L-000205,,2401 15th Street NW,Washington DC,,,38.9217699,-77.0349922,,,FALSE,https://www.artofliving.org/us-en/node/8512
a0C1g000000WGGmEAO,L-000206,,,,,,37.09024,-95.712891,,,FALSE,https://www.artofliving.org/us-en/node/8513
a0C1g000000WGGnEAO,L-000207,,,,,,37.09024,-95.712891,,,FALSE,https://www.artofliving.org/us-en/node/8514
a0C1g000000WGGoEAO,L-000208,,,,,,37.09024,-95.712891,,,FALSE,https://www.artofliving.org/us-en/node/8515
a0C1g000000WGGpEAO,L-000209,,,,,,37.09024,-95.712891,,,FALSE,https://www.artofliving.org/us-en/node/8516
a0C1g000000WGGqEAO,L-000210,,,,,,37.09024,-95.712891,,,FALSE,https://www.artofliving.org/us-en/node/8517
a0C1g000000WGGrEAO,L-000211,,,,,,37.09024,-95.712891,,,FALSE,https://www.artofliving.org/us-en/node/8518
a0C1g000000WGGsEAO,L-000212,,,,,,37.09024,-95.712891,,,FALSE,https://www.artofliving.org/us-en/node/8519
a0C1g000000WGGtEAO,L-000213,,1050 S. Forest Mall Tempe,,,85281,33.4180342,-111.9373076,,,FALSE,https://www.artofliving.org/us-en/node/8520
a0C1g000000WGGuEAO,L-000214,,,,,,37.09024,-95.712891,,,FALSE,https://www.artofliving.org/us-en/node/8521
a0C1g000000WGGvEAO,L-000215,,,,,,37.09024,-95.712891,,,FALSE,https://www.artofliving.org/us-en/node/8522
a0C1g000000WGGwEAO,L-000216,,,,,,37.09024,-95.712891,,,FALSE,https://www.artofliving.org/us-en/node/8523
a0C1g000000WGGxEAO,L-000217,,,,,,37.09024,-95.712891,,,FALSE,https://www.artofliving.org/us-en/node/8524
a0C1g000000WGGyEAO,L-000218,,,,,,37.09024,-95.712891,,,FALSE,https://www.artofliving.org/us-en/node/8525
a0C1g000000WGGzEAO,L-000219,Youth Center,730 Halstead Road,Wilmington,,19803,39.8009574,-75.5500127,,,TRUE,https://www.artofliving.org/us-en/node/8526
a0C1g000000WGH0EAO,L-000220,,,,,,37.09024,-95.712891,,,FALSE,https://www.artofliving.org/us-en/node/8527
a0C1g000000WGH1EAO,L-000221,,,,,,37.09024,-95.712891,,,FALSE,https://www.artofliving.org/us-en/node/8528
a0C1g000000WGH2EAO,L-000222,,10 Walnut Hill Park,Woburn,,1801,42.4880418,-71.1310754,,,FALSE,https://www.artofliving.org/us-en/node/8529
a0C1g000000WGH3EAO,L-000223,,,,,,37.09024,-95.712891,,,TRUE,https://www.artofliving.org/us-en/node/8530
a0C1g000000WGH4EAO,L-000224,,,,,,37.09024,-95.712891,,,FALSE,https://www.artofliving.org/us-en/node/8531
a0C1g000000WGH5EAO,L-000225,,,,,,37.09024,-95.712891,,,FALSE,https://www.artofliving.org/us-en/node/8532
a0C1g000000WGH6EAO,L-000226,,,,,,37.09024,-95.712891,,,FALSE,https://www.artofliving.org/us-en/node/8533
a0C1g000000WGH7EAO,L-000227,,,,,,37.09024,-95.712891,,,FALSE,https://www.artofliving.org/us-en/node/8534
a0C1g000000WGH8EAO,L-000228,,,,,,37.09024,-95.712891,,,FALSE,https://www.artofliving.org/us-en/node/8535
a0C1g000000WGH9EAO,L-000229,,,,,,37.09024,-95.712891,,,FALSE,https://www.artofliving.org/us-en/node/8536
a0C1g000000WGHAEA4,L-000230,,15130 Strathmoor Dr,Charlotte,,28277,35.039561,-80.866987,,,FALSE,https://www.artofliving.org/us-en/node/8537
